,close,Search Trends,DayOfWeek
2020-01-24 11:00:00,668.67,27.0,4
2020-01-24 12:00:00,662.08,40.0,4
2020-01-24 13:00:00,656.38,51.0,4
2020-01-24 14:00:00,658.27,58.0,4
2020-01-24 15:00:00,660.75,63.0,4
2020-01-24 16:00:00,,62.0,4
2020-01-24 17:00:00,,65.0,4
2020-01-24 18:00:00,,68.0,4
2020-01-24 19:00:00,,69.0,4
2020-01-24 20:00:00,,71.0,4
2020-01-24 21:00:00,,72.0,4
2020-01-24 22:00:00,,77.0,4
2020-01-24 23:00:00,,87.0,4
2020-01-25 00:00:00,,86.0,4
2020-01-25 01:00:00,,82.0,4
2020-01-25 02:00:00,,79.0,4
2020-01-25 03:00:00,,69.0,4
2020-01-25 04:00:00,,54.0,4
2020-01-25 05:00:00,,35.0,4
2020-01-25 06:00:00,,22.0,4
2020-01-25 07:00:00,,12.0,4
2020-01-25 08:00:00,,9.0,4
2020-01-25 09:00:00,,9.0,4
2020-01-25 10:00:00,,13.0,4
2020-01-25 11:00:00,,20.0,4
2020-01-25 12:00:00,,30.0,4
2020-01-25 13:00:00,,41.0,4
2020-01-25 14:00:00,,47.0,4
2020-01-25 15:00:00,,52.0,4
2020-01-25 16:00:00,,53.0,4
2020-01-25 17:00:00,,53.0,4
2020-01-25 18:00:00,,57.0,4
2020-01-25 19:00:00,,57.0,4
2020-01-25 20:00:00,,61.0,4
2020-01-25 21:00:00,,65.0,4
2020-01-25 22:00:00,,68.0,4
2020-01-25 23:00:00,,74.0,4
2020-01-26 00:00:00,,77.0,4
2020-01-26 01:00:00,,76.0,4
2020-01-26 02:00:00,,72.0,4
2020-01-26 03:00:00,,68.0,4
2020-01-26 04:00:00,,56.0,4
2020-01-26 05:00:00,,40.0,4
2020-01-26 06:00:00,,25.0,4
2020-01-26 07:00:00,,14.0,4
2020-01-26 08:00:00,,9.0,4
2020-01-26 09:00:00,,7.0,4
2020-01-26 10:00:00,,9.0,4
2020-01-26 11:00:00,,16.0,4
2020-01-26 12:00:00,,24.0,4
2020-01-26 13:00:00,,33.0,4
2020-01-26 14:00:00,,42.0,4
2020-01-26 15:00:00,,44.0,4
2020-01-26 16:00:00,,48.0,4
2020-01-26 17:00:00,,51.0,4
2020-01-26 18:00:00,,51.0,4
2020-01-26 19:00:00,,47.0,4
